X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
42.75,8.6,225.85,297.04,191.13,164.76,174.99,176.79,241.31,176.24,109.63,248.54,225.69
44.25,8.6,282.41,357.14,234,191.57,207.74,199.57,231.66,181.09,187.66,273.14,225.91
45.75,8.6,339.03,372.08,245.38,183.95,207.6,184.71,191.22,168.17,251.48,265.49,196.16
47.25,8.6,327.97,336.63,246.63,155.35,168.85,152.57,161.67,144.29,245.21,236.79,160.19
48.75,8.6,265.63,262.92,209.73,129.84,135.81,124.8,136.26,130.84,177.81,191.77,129.64
50.25,8.6,194.93,182.97,161.35,109.23,113,104,114.82,111.93,101.73,149.7,114.41
51.75,8.6,138.78,134.9,129.35,103.28,99.53,97.19,104.25,104.02,59.16,108.18,107.38
53.25,8.6,119.66,133.8,119.48,102.16,101.53,95.57,103.7,106.24,48.56,92.91,114.47
54.75,8.6,149.92,173.13,143.75,118.31,118.06,112.22,123.56,127.59,64.94,117.28,143.48
56.25,8.6,224.06,273.72,222.72,162.31,166.19,155.65,175,177.79,115.26,192.1,206.69
57.75,8.6,329.73,426.81,318.36,222.57,234.69,214.85,245.19,242.5,186.31,293.69,277.46
59.25,8.6,367.57,454.93,316,226.92,243.07,223.07,268.77,243.55,205.49,303.86,264.55
60.75,8.6,223.46,239.46,180.01,138.55,149.54,139.37,196.75,149.87,137.95,165.02,145.26
62.25,8.6,90.68,82.71,74.84,58.6,61.22,61.68,105.23,70.57,65.63,64.88,58.97
63.75,8.6,35.16,29.58,32.03,22.62,22.37,24.48,44.85,30.9,26.64,27.25,23.59
65.25,8.6,15.72,14.29,16.6,9.31,9.03,10.07,16.44,13.06,10.63,14.11,10.52
66.75,8.6,10.79,11.39,12.69,6.16,6.11,6.45,8.05,7.69,6.98,11.3,7.18
68.25,8.6,15.37,16.8,17.77,9.01,9.52,8.91,8.33,8.76,11.95,16.63,9.93
69.75,8.6,34.16,37.14,38.89,24.12,27.4,22.96,19.17,20.52,33.25,36.73,24.88
71.25,8.6,80.38,86.27,89.07,73.53,86.45,69.64,58.52,63.83,89.79,85.05,75.88
72.75,8.6,167.64,182.17,181.17,194.53,225.01,185.84,164.91,176.67,201.37,172.02,203.86
74.25,8.6,290.64,327.13,311.16,410.15,460.36,396.66,372.54,391.09,360.52,289.24,433.48
75.75,8.6,414.2,481.02,452.4,694.23,753.94,683.03,664.59,684.27,522.39,409.39,722.24
77.25,8.6,472.17,549.07,529.58,854.15,904.94,859.28,836.61,848.84,627.53,474.89,849.83
78.75,8.6,477.48,530.9,536.91,847.02,879.5,864.92,837.79,835.36,675.31,489.77,790.54
80.25,8.6,443.39,467.14,488.87,716.71,737.08,737.01,705.64,702.45,666.12,466.55,636.42
81.75,8.6,395.49,387.81,416.74,547.17,560.58,562.24,537.97,533.15,601.17,416.97,472.53
83.25,8.6,337.69,316.99,340.78,398.24,407.61,408.51,390.35,392.06,494.8,359.84,348.42
84.75,8.6,275.93,255.16,276.19,290.72,296.77,295.91,284.78,289.82,374.91,299.67,263.38
86.25,8.6,231.08,222.53,236.1,231.52,236.33,235.53,226.42,234.02,288.01,256.68,221.58
87.75,8.6,202.96,207.99,212.84,203.96,207.16,206.5,198.76,204.87,238.19,225.35,203.2
