X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9
41.25,1.13,169.16,189.53,225.77,280.12,199.18,176.5,189.25,152.83,226.49
42.75,1.13,77.27,96.55,88.39,95.17,164.09,175.01,162.85,163.36,117.2
44.25,1.13,535.79,462.18,559.29,385.54,328.08,273.28,324.31,494.41,476.72
45.75,1.13,258.84,289.1,224.51,347.24,149.74,176.69,179.22,106.86,158.43
47.25,1.13,258.64,370.43,242.41,219.35,257.01,243.26,222.17,272.36,215.65
48.75,1.13,394.34,300.8,429.46,411.93,427.51,473.85,384.48,336.55,383.23
50.25,1.13,145.86,145.9,159.83,224.76,177.62,229.82,168.07,168.23,163.39
51.75,1.13,228.93,236.76,213.01,248.2,208.77,215.46,182.29,149.05,185.9
53.25,1.13,213.56,208.32,182.43,192.39,213.69,182.58,157.47,125.31,158.39
54.75,1.13,264.44,251.68,258.38,266.23,233.43,278.51,248.92,272.54,243.62
56.25,1.13,428.73,405.06,362.84,421.14,285,389.56,332.35,382.63,323.47
57.75,1.13,260.48,252.63,212.7,217.09,190.98,223.13,200.06,194.99,186.51
59.25,1.13,186.01,209.77,194.15,182.27,231.22,178.25,165.95,175.27,195.95
60.75,1.13,257.98,290.26,273.86,273.82,253.43,260,243.54,271.32,262.77
62.25,1.13,69.67,63.84,64.47,68.8,43.07,64.37,70.63,67.36,56.21
63.75,1.13,550.87,518.22,562.02,587.19,336.65,703.59,736.32,685.21,639.53
65.25,1.13,117.15,131.84,118.83,150.69,89,139.75,126.42,118.96,136.84
66.75,1.13,95.65,100.27,105.42,110.1,83.31,124.42,123.23,137.08,121.56
68.25,1.13,103,125.38,128.25,109.11,104.38,136.36,156.98,137.58,161.14
69.75,1.13,144.24,171.62,147.56,161.11,184.19,147.65,154.47,145.85,171.22
71.25,1.13,93.45,100.68,89.05,106.89,140.11,96.01,85.47,92.73,91
72.75,1.13,56.84,57.79,61.42,65.5,65.21,64.73,56.2,61.89,55.68
74.25,1.13,112.8,102.09,113.32,107.87,93.71,114.11,108.06,110.52,101.95
75.75,1.13,143.86,141.48,141.5,140.47,123.66,138.28,138.16,137.4,134.38
77.25,1.13,292.18,294.71,289.77,299.99,296.49,291.05,280.54,289.35,280.69
78.75,1.13,350.34,334.46,330.47,320.4,301.97,310.1,313.7,305.44,299.74
80.25,1.13,441.56,430.12,424.33,422.12,389.07,384.18,390.71,381.66,380.78
81.75,1.13,346.65,348.88,341.01,345.88,310.32,312.57,310.02,308.55,310.62
83.25,1.13,232.89,228.13,227.23,236.64,220.57,220.68,212.36,220.47,216.21
84.75,1.13,243.74,240.13,243.83,247.32,235.28,238.08,232.24,236.99,227.41
86.25,1.13,227.95,225.36,226.55,228.59,225.07,227.21,219.86,222.69,211.51
87.75,1.13,265.62,265.72,265.3,255.53,243.8,251.65,257.65,246.81,240.9
89.25,1.13,265.02,263.22,263.24,264.63,267.13,267.04,262.43,254.53,250.21
90.75,1.13,209.19,209.69,209.56,214,213.29,213.84,208.89,208.73,182.29
92.25,1.13,446.61,440.42,444.13,464.69,461.26,452.36,430.56,421.29,356.03
93.75,1.13,414.61,420.91,429.3,442.59,412.89,421.04,394.51,396.8,355.41
95.25,1.13,915.78,926.06,923.61,940.66,881.16,833.51,789.23,808.76,687.91
96.75,1.13,636.79,652.88,620.31,624.92,609.37,580.41,561.85,562.22,494.47
98.25,1.13,546.09,537.78,553.96,535.67,542.78,511.91,521.11,506.25,468
99.75,1.13,538.67,555.32,550.07,555.61,583.25,572.56,569.17,545.72,474.7
