X,Depth,R1,R2,R3,R4,R5,R6,R7
107.25,1.91,181.12,195.36,174.48,193.59,179.54,180.43,184.59
108.75,1.91,72.86,95.2,92.85,91.41,93.06,88.82,91.56
110.25,1.91,32.59,25.97,27.65,27.01,26.18,26.87,26.9
111.75,1.91,792.47,621.58,643.28,632.2,616.85,628.44,690.54
113.25,1.91,10.5,5.74,6.48,5.7,5.85,7.99,6.34
114.75,1.91,19.96,31.12,24.79,32.06,25.62,19.11,29.63
116.25,1.91,288.6,235.31,264.78,234.9,267.96,268.43,236.45
117.75,1.91,167,156.37,153.09,151.28,149.93,155.63,150.95
119.25,1.91,91.13,94.13,92.75,92.98,93.5,92.5,92.15
120.75,1.91,77.25,81.61,79.37,82.25,79.38,78.59,82
122.25,1.91,58.93,61.2,58.9,61.29,59.65,59.33,60.46
123.75,1.91,89.53,84.75,86.81,85.05,84.27,85.59,83.19
125.25,1.91,149.85,156.79,163.58,161.53,163.15,162.86,157.8
126.75,1.91,23.53,23.76,23.05,23.71,23.52,23.23,23.75
128.25,1.91,60.53,60.77,61.79,59.22,57.88,59.76,56.47
129.75,1.91,93.36,86.82,89.53,86.42,86.15,85.71,82.92
131.25,1.91,54.74,52.19,52.01,51.36,49.69,49.85,48.67
132.75,1.91,26.15,25.38,25.67,25.57,25.67,25.79,26.1
134.25,1.91,35.78,37.34,37.65,38.21,37.58,38.56,39.45
135.75,1.91,145.7,150.52,148.74,149.07,151.88,146.54,150.58
137.25,1.91,71.51,69.9,69.85,68.68,69.56,69.75,68.04
138.75,1.91,26.43,25.87,25.37,25.32,24.77,25.02,23.95
140.25,1.91,160.21,154.89,157.72,155.9,155.45,159.59,157.72
141.75,1.91,243.93,240.64,240.7,242.19,239.94,239,242.92
143.25,1.91,115.44,113.48,112.33,111.81,110.96,109.94,110.62
144.75,1.91,122.55,124.47,121.65,121.37,120.78,119.94,120.36
146.25,1.91,327.35,323.07,328.93,331.02,328.35,329.87,326.94
147.75,1.91,231.28,232.32,225.8,223.98,223.4,218.87,216.35
149.25,1.91,355.6,363.22,359.07,355.76,355.29,353.81,361.52
150.75,1.91,373.52,377.08,384.73,379.62,376.79,366.79,363.35
152.25,1.91,399.9,392.97,406.04,398.61,404.45,406.95,398.77
153.75,1.91,280.16,284.4,278.41,281.88,282.22,277.21,280.42
155.25,1.91,423.37,440.33,433.71,441.09,433.59,428.23,435.82
156.75,1.91,380.84,366.23,383.28,364.6,382.85,393.39,372.05
158.25,1.91,399.85,419.33,390.7,411.49,396.95,378.42,394.78
159.75,1.91,553.05,541.98,509.95,543.12,522.72,482.71,531.85
161.25,1.91,782.9,660.78,699.76,681.89,671.99,694.76,689.56
162.75,1.91,1213.3,945.36,1003.7,1010,940.75,1058.6,1121.2
164.25,1.91,947.98,938.26,933.78,970.77,937.49,943.86,1035.6
165.75,1.91,810.27,865.57,880.87,882.31,899,855.9,899.89
167.25,1.91,725.8,708.73,780.17,717.58,734.52,772.35,716.72
