X,Depth,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119
47.25,13.68,235.26,327.1,377.89,199.67,277.18,292.49,225.23,382.84,230.88,256.46
48.75,13.68,264.63,358.76,398.91,238.53,300.66,328.36,273.14,390.03,245.82,283.45
50.25,13.68,309.71,390.22,418.3,301.03,338.15,368.1,322.87,406.89,283.29,313.41
51.75,13.68,386.08,437.64,456.16,391.77,401.85,424.28,395.16,420.06,347.79,356.17
53.25,13.68,511.7,506.77,505.67,529.75,496.79,504.47,507.42,444.87,464.28,416.8
54.75,13.68,687.31,595.4,564.95,769.73,642.03,608.97,668.92,486.15,630.06,492.92
56.25,13.68,844.7,680.48,604.64,1112.1,792.26,706.54,842.75,523.54,825.65,573.1
57.75,13.68,814.43,657.58,561.26,1417.6,832.74,669.15,890.95,504.34,933.75,563.17
59.25,13.68,539.04,473.44,400.58,1313.2,647.6,462.06,644.64,389.73,768.57,416.11
60.75,13.68,240.66,251.91,213.35,753.76,351.98,233.28,314.09,230.7,418.09,229.5
62.25,13.68,81.02,110.74,93.41,291.77,147.35,98.51,120.47,110.56,169.44,103.71
63.75,13.68,24.63,45.13,37.48,95.52,55.51,38.62,43.16,47.53,61.17,42.62
65.25,13.68,8.39,18.37,14.92,31.92,20.9,15.11,15.91,19.86,21.94,17.13
66.75,13.68,4.2,8.07,6.4,12.37,8.49,6.31,6.62,8.67,8.55,7.4
68.25,13.68,3.96,4.27,3.4,6.3,4.24,3.17,3.54,4.49,4.24,3.94
69.75,13.68,6.94,3.32,2.69,4.99,3.28,2.41,2.82,3.27,3.21,3.14
71.25,13.68,17.22,4.35,3.48,6.39,4.22,3.23,3.73,3.96,4.17,4.28
72.75,13.68,46.02,8.62,7.05,12.07,8.26,6.66,7.83,7.84,8.2,8.31
74.25,13.68,111.75,21.12,18.55,27.56,19.89,16.99,20.05,20.11,20.2,19.18
75.75,13.68,226.98,53.46,51.02,65.46,50.16,44.58,51.7,52.64,52.08,45.46
77.25,13.68,367.93,123.14,124.55,142.2,116.61,105.08,119.39,122.81,121.65,99.69
78.75,13.68,495.3,245.28,254.51,265.36,234.93,211.06,236.68,243.51,241.34,193.79
80.25,13.68,580.92,412.65,425.73,414,396.83,355.72,397.1,402.67,397.6,328.46
81.75,13.68,620.98,588.4,591.96,544.66,564.27,512,569.94,565.14,550.84,484.75
83.25,13.68,626.46,730.12,711,623.11,692.98,655.37,720.17,688.76,663.23,632.08
84.75,13.68,609.99,812.91,766.71,642.16,759.12,770.36,828.09,749.69,718.21,741.07
86.25,13.68,581.15,833.31,771.55,619.16,765.42,856.88,892.12,749.1,723.19,795.6
87.75,13.68,542.81,806.64,743.49,574.26,732.94,913.37,919.16,703.65,691.94,795.19
89.25,13.68,494.63,741.65,687.67,518.61,672.28,923.59,898.75,630.89,635.38,746.8
90.75,13.68,436.88,646.75,606.47,455.5,590.25,867.37,820.45,541.06,557.37,656.98
92.25,13.68,371.73,533.3,506.78,388.31,491.98,746.44,691.12,440.79,467.14,540.6
93.75,13.68,304.31,415.64,400.42,320.14,389.71,587.8,538.13,340.77,373.44,416.7
95.25,13.68,240.36,308.22,302.39,254.77,294.47,428.29,392.66,252,285.17,303.42
96.75,13.68,183.57,219.56,220.06,194.76,213.83,294.39,273,181.43,208.99,211.09
98.25,13.68,134.9,151.48,156.37,141.64,150.62,194.85,183.04,127.96,148.11,142.48
99.75,13.68,94.19,101.74,108.79,97.93,103,126.2,119.24,88.69,102.24,94.55
101.25,13.68,61.41,66.61,73.92,64.9,68.56,80.13,75.88,60.62,68.72,62.19
102.75,13.68,37.23,42.91,49.34,42.43,44.79,50.26,47.83,41.23,45.44,40.76
104.25,13.68,21.76,28.11,33.47,28.99,29.79,32.25,30.98,28.86,30.74,27.49
105.75,13.68,13.48,20.38,25.05,22.58,21.99,23.04,22.43,22.61,23.14,20.71
107.25,13.68,10.29,18.55,23.2,22.04,20.3,20.68,20.44,22.19,21.63,19.57
108.75,13.68,11.2,23.06,28.7,28.24,25.26,25.36,25.26,29.11,26.94,25.04
110.25,13.68,17.88,38.14,46.16,45.99,41.23,41.55,40.99,49.37,43.64,42.26
111.75,13.68,37.59,74.87,86.41,85.75,79.12,80.86,78.03,96.63,82.46,84.18
113.25,13.68,88.37,151.43,163.62,160.92,155.31,161.61,151.54,189.22,158.57,172.35
114.75,13.68,198.19,273.74,272.33,267.38,271.22,286.95,261.64,322.5,271.02,315.84
116.25,13.68,368.27,390.3,355.34,354.21,373.71,397.23,357.06,427.22,367.05,457.83
117.75,13.68,515.51,414.55,350.19,361.07,385.77,403.63,366.43,424.03,376.02,491.82
119.25,13.68,537.97,341.85,275.38,297.91,312.35,316.06,295.69,334.48,305.25,405.13
120.75,13.68,450.54,242.57,191.2,219.33,220.09,213.87,207.8,233.15,216.65,283.76
122.25,13.68,335.29,164.64,129.11,158.15,149.63,140.63,141.21,157.99,148.45,189.08
123.75,13.68,243.76,115.44,90.73,118.86,105.8,97.32,99.93,111.47,105.43,130.24
125.25,13.68,183.6,87.38,69.18,95.76,81.06,74.01,76.59,85.03,81,96.96
126.75,13.68,146.91,72.82,58.3,82.49,68.41,62.5,64.62,71.31,68.4,79.26
128.25,13.68,124.81,66.75,54.49,74.71,63.33,58.19,59.89,65.7,63.41,71.09
129.75,13.68,111.02,66.44,55.72,69.65,63.43,58.72,60.03,65.4,63.42,68.73
131.25,13.68,101.57,69.87,60.61,65.83,66.95,62.39,63.38,68.68,66.51,69.91
132.75,13.68,94.48,75.33,68.09,62.85,72.34,67.96,68.54,73.58,71.32,72.67
134.25,13.68,88.4,80.26,75.82,60.3,77.32,73.34,73.49,77.25,75.91,74.95
135.75,13.68,82.85,82.02,80.51,58.17,79.53,76.11,75.95,77.73,77.87,75.35
137.25,13.68,77.82,79.38,79.59,56.43,77.72,74.51,74.54,74.45,75.35,72.8
138.75,13.68,73.38,72.92,73.61,55.2,72.14,69.45,69.48,68.29,69.7,67.85
140.25,13.68,69.65,65.13,65.34,54.84,65.09,63.04,63.01,61.53,63.18,62.18
141.75,13.68,66.89,59,58.52,55.95,59.3,57.86,57.96,56.41,58.1,58
143.25,13.68,65,56.55,55.75,58.24,56.77,55.83,56.24,54.53,56.24,56.67
144.75,13.68,62.51,55.97,55.34,59.67,55.98,55.24,55.8,54.5,55.95,56.61
146.25,13.68,59.22,56.74,56.56,61.06,56.57,55.74,56.35,55.89,56.74,57.63
147.75,13.68,53.72,58.04,58.77,62.23,57.65,56.29,56.67,58.32,57.79,59.15
35.25,15.72,194.07,199.29,133.23,158.26,165.86,208.06,191.33,156.05,176.18,230.87
36.75,15.72,213.54,216.03,165.22,154.17,178.72,244.87,210.83,190.14,181.53,194
38.25,15.72,237.21,238.4,206.63,146.91,199.16,279.46,234.15,237.86,201.92,180.16
39.75,15.72,266.14,263.25,265.23,145.2,229.52,319.88,260.77,308.61,243.55,189.27
41.25,15.72,299.09,298.54,346.85,153.32,269.49,343.37,270.31,401.79,307.46,227.46
42.75,15.72,338.56,351.39,453.92,176.72,323.94,352.47,278.6,505.62,376.03,287.08
44.25,15.72,382.18,401.82,540.38,216,365.71,363.15,284.84,595.85,389.65,340.44
45.75,15.72,433.11,466.36,585.91,267.51,411.46,392.92,305.94,654.36,372.4,386.01
47.25,15.72,495.11,525.79,594.5,311.75,427.36,437.11,343.78,664.5,356.73,424.97
48.75,15.72,579.39,561.36,601.8,383.71,453.31,479.1,403.44,648.82,366.62,449.55
50.25,15.72,712.07,612.2,617.87,499.39,513.48,538.78,471.21,663.6,414.52,495.8
51.75,15.72,934.35,708.18,678.16,649.2,624.1,636.7,587.97,675.19,507.96,586.22
53.25,15.72,1298.4,853.08,762.39,882.03,795.31,788.67,791.59,714.35,705.92,725.77
54.75,15.72,1752.4,1049.3,873.82,1375.7,1108.6,1013.3,1138.3,793.26,1030.1,906.78
56.25,15.72,1964.7,1321.4,972.96,2294.5,1514.7,1318,1644,875.64,1533.8,1183.3
57.75,15.72,1528,1327.1,917.16,3573.2,1769.4,1291.1,2062.1,831.43,2019.9,1199.5
59.25,15.72,772.35,855.13,594.34,3668.1,1345.2,784.98,1395.3,579.62,1672.3,787.24
60.75,15.72,276.26,368.32,268.04,1772.9,597.79,306.62,523.51,294.19,716.22,350.4
62.25,15.72,80.43,136.29,103.49,512.45,198.5,111.14,157.09,124.65,226.07,132.23
63.75,15.72,21.94,49.89,38.27,135.93,63.88,39.61,48.37,50.53,69.17,48.82
65.25,15.72,6.54,18.59,13.93,39.38,21.13,14.09,15.61,20.38,21.62,18.26
66.75,15.72,2.7,7.09,5.11,12.98,7.13,4.96,5.37,8.2,6.92,7.09
68.25,15.72,2.17,2.81,2.03,5.06,2.58,1.79,2.09,3.42,2.52,2.95
69.75,15.72,3.73,1.4,1.05,2.81,1.34,0.86,1.04,1.64,1.26,1.6
71.25,15.72,10.07,1.34,0.92,2.57,1.27,0.86,0.94,1.27,1.22,1.72
72.75,15.72,29.87,2.67,1.86,4.51,2.57,1.9,2.3,2.45,2.44,3.16
74.25,15.72,79.45,8.39,6.74,11.37,7.68,6.45,8.18,8.5,7.69,8.28
75.75,15.72,174.54,27.79,26.01,32.79,25.29,22.79,28.3,29.14,26.58,23.5
77.25,15.72,305.56,80.61,81.83,87.08,74.6,68.52,82.39,85.19,79.48,61.88
78.75,15.72,444.14,194.87,204.73,194.07,183.21,168.46,198.1,204.25,190.99,142.6
